21.1.1.31. Támogatások összefoglaló adatai [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció;Kód;Kormányzat + Európai Unió Intézményei S2+S13 1995;Kormányzat S.13 1995;Központi kormányzat S.1311 1995;Helyi önkormányzat S.1313 1995;Társadalom- biztosítási alapok S.1314 1995;Európai Unió Intézményei S2 1995;Kormányzat + Európai Unió Intézményei S2+S13 1996;Kormányzat S.13 1996;Központi kormányzat S.1311 1996;Helyi önkormányzat S.1313 1996;Társadalom- biztosítási alapok S.1314 1996;Európai Unió Intézményei S2 1996;Kormányzat + Európai Unió Intézményei S2+S13 1997;Kormányzat S.13 1997;Központi kormányzat S.1311 1997;Helyi önkormányzat S.1313 1997;Társadalom- biztosítási alapok S.1314 1997;Európai Unió Intézményei S2 1997;Kormányzat + Európai Unió Intézményei S2+S13 1998;Kormányzat S.13 1998;Központi kormányzat S.1311 1998;Helyi önkormányzat S.1313 1998;Társadalom- biztosítási alapok S.1314 1998;Európai Unió Intézményei S2 1998;Kormányzat + Európai Unió Intézményei S2+S13 1999;Kormányzat S.13 1999;Központi kormányzat S.1311 1999;Helyi önkormányzat S.1313 1999;Társadalom- biztosítási alapok S.1314 1999;Európai Unió Intézményei S2 1999;Kormányzat + Európai Unió Intézményei S2+S13 2000;Kormányzat S.13 2000;Központi kormányzat S.1311 2000;Helyi önkormányzat S.1313 2000;Társadalom- biztosítási alapok S.1314 2000;Európai Unió Intézményei S2 2000;Kormányzat + Európai Unió Intézményei S2+S13 2001;Kormányzat S.13 2001;Központi kormányzat S.1311 2001;Helyi önkormányzat S.1313 2001;Társadalom- biztosítási alapok S.1314 2001;Európai Unió Intézményei S2 2001;Kormányzat + Európai Unió Intézményei S2+S13 2002;Kormányzat S.13 2002;Központi kormányzat S.1311 2002;Helyi önkormányzat S.1313 2002;Társadalom- biztosítási alapok S.1314 2002;Európai Unió Intézményei S2 2002;Kormányzat + Európai Unió Intézményei S2+S13 2003;Kormányzat S.13 2003;Központi kormányzat S.1311 2003;Helyi önkormányzat S.1313 2003;Társadalom- biztosítási alapok S.1314 2003;Európai Unió Intézményei S2 2003;Kormányzat + Európai Unió Intézményei S2+S13 2004;Kormányzat S.13 2004;Központi kormányzat S.1311 2004;Helyi önkormányzat S.1313 2004;Társadalom- biztosítási alapok S.1314 2004;Európai Unió Intézményei S2 2004;Kormányzat + Európai Unió Intézményei S2+S13 2005;Kormányzat S.13 2005;Központi kormányzat S.1311 2005;Helyi önkormányzat S.1313 2005;Társadalom- biztosítási alapok S.1314 2005;Európai Unió Intézményei S2 2005;Kormányzat + Európai Unió Intézményei S2+S13 2006;Kormányzat S.13 2006;Központi kormányzat S.1311 2006;Helyi önkormányzat S.1313 2006;Társadalom- biztosítási alapok S.1314 2006;Európai Unió Intézményei S2 2006;Kormányzat + Európai Unió Intézményei S2+S13 2007;Kormányzat S.13 2007;Központi kormányzat S.1311 2007;Helyi önkormányzat S.1313 2007;Társadalom- biztosítási alapok S.1314 2007;Európai Unió Intézményei S2 2007;Kormányzat + Európai Unió Intézményei S2+S13 2008;Kormányzat S.13 2008;Központi kormányzat S.1311 2008;Helyi önkormányzat S.1313 2008;Társadalom- biztosítási alapok S.1314 2008;Európai Unió Intézményei S2 2008;Kormányzat + Európai Unió Intézményei S2+S13 2009;Kormányzat S.13 2009;Központi kormányzat S.1311 2009;Helyi önkormányzat S.1313 2009;Társadalom- biztosítási alapok S.1314 2009;Európai Unió Intézményei S2 2009;Kormányzat + Európai Unió Intézményei S2+S13 2010;Kormányzat S.13 2010;Központi kormányzat S.1311 2010;Helyi önkormányzat S.1313 2010;Társadalom- biztosítási alapok S.1314 2010;Európai Unió Intézményei S2 2010;Kormányzat + Európai Unió Intézményei S2+S13 2011;Kormányzat S.13 2011;Központi kormányzat S.1311 2011;Helyi önkormányzat S.1313 2011;Társadalom- biztosítási alapok S.1314 2011;Európai Unió Intézményei S2 2011;Kormányzat + Európai Unió Intézményei S2+S13 2012;Kormányzat S.13 2012;Központi kormányzat S.1311 2012;Helyi önkormányzat S.1313 2012;Társadalom- biztosítási alapok S.1314 2012;Európai Unió Intézményei S2 2012;Kormányzat + Európai Unió Intézményei S2+S13 2013;Kormányzat S.13 2013;Központi kormányzat S.1311 2013;Helyi önkormányzat S.1313 2013;Társadalom- biztosítási alapok S.1314 2013;Európai Unió Intézményei S2 2013;Kormányzat + Európai Unió Intézményei S2+S13 2014;Kormányzat S.13 2014;Központi kormányzat S.1311 2014;Helyi önkormányzat S.1313 2014;Társadalom- biztosítási alapok S.1314 2014;Európai Unió Intézményei S2 2014;Kormányzat + Európai Unió Intézményei S2+S13 2015;Kormányzat S.13 2015;Központi kormányzat S.1311 2015;Helyi önkormányzat S.1313 2015;Társadalom- biztosítási alapok S.1314 2015;Európai Unió Intézményei S2 2015;Kormányzat + Európai Unió Intézményei S2+S13 2016;Kormányzat S.13 2016;Központi kormányzat S.1311 2016;Helyi önkormányzat S.1313 2016;Társadalom- biztosítási alapok S.1314 2016;Európai Unió Intézményei S2 2016;Kormányzat + Európai Unió Intézményei S2+S13 2017;Kormányzat S.13 2017;Központi kormányzat S.1311 2017;Helyi önkormányzat S.1313 2017;Társadalom- biztosítási alapok S.1314 2017;Európai Unió Intézményei S2 2017;Kormányzat + Európai Unió Intézményei S2+S13 2018;Kormányzat S.13 2018;Központi kormányzat S.1311 2018;Helyi önkormányzat S.1313 2018;Társadalom- biztosítási alapok S.1314 2018;Európai Unió Intézményei S2 2018;Kormányzat + Európai Unió Intézményei S2+S13 2019;Kormányzat S.13 2019;Központi kormányzat S.1311 2019;Helyi önkormányzat S.1313 2019;Társadalom- biztosítási alapok S.1314 2019;Európai Unió Intézményei S2 2019;Kormányzat + Európai Unió Intézményei S2+S13 2020;Kormányzat S.13 2020;Központi kormányzat S.1311 2020;Helyi önkormányzat S.1313 2020;Társadalom- biztosítási alapok S.1314 2020;Európai Unió Intézményei S2 2020;Kormányzat + Európai Unió Intézményei S2+S13 2021;Kormányzat S.13 2021;Központi kormányzat S.1311 2021;Helyi önkormányzat S.1313 2021;Társadalom- biztosítási alapok S.1314 2021;Európai Unió Intézményei S2 2021
Megváltozott munkaképességûek támogatása;;–;–;–;–;–;–;6 527;6 527;6 527;–;–;–;7 910;7 910;7 910;–;–;–;10 927;10 927;10 927;–;–;–;13 720;13 720;13 720;–;–;–;17 728;17 728;17 728;–;–;–;24 604;24 604;24 604;–;–;–;39 517;39 517;39 517;–;–;–;44 433;44 433;44 433;–;–;–;65 273;65 273;65 273;–;–;–;55 982;55 982;55 982;–;–;–;42 208;42 208;42 208;–;–;–;41 068;41 068;41 068;–;–;–;49 972;49 972;49 972;–;–;–;43 468;43 468;43 468;–;–;–;38 809;38 809;38 809;–;–;–;33 928;33 928;33 928;–;–;–;30 946;30 946;30 946;–;–;–;28 685;28 685;28 685;–;–;–;31 508;31 508;31 508;–;–;–;34 872;34 872;34 872;–;–;–;34 350;34 350;34 350;–;–;–;36 896;36 896;36 896;–;–;–;40 434;40 434;40 434;–;–;–;42 352;42 352;42 352;–;–;–;47 395;47 395;47 395;–;–;–;46 065;46 065;46 065;–;–;–
Bérfejlesztési támogatás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 400;5 400;5 400;–;–;–
Szociális hozzájárulási adó kedvezmények;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;227 452;227 452;–;–;227 452;–;154 367;154 367;–;–;154 367;–;135 758;135 758;–;–;135 758;–;140 274;140 274;–;–;140 274;–;154 109;154 109;–;–;154 109;–;118 206;118 206;–;–;118 206;–;104 218;104 218;–;–;104 218;–;104 357;104 357;–;–;104 357;–;111 475;111 475;–;–;111 475;–;132 215;132 215;–;–;132 215;–
Termelõfelhasználás támogatása;D.392;11 234;11 234;11 234;–;–;–;11 938;11 938;11 938;–;–;–;19 837;19 837;19 837;–;–;–;18 274;18 274;18 274;–;–;–;20 162;20 162;20 162;–;–;–;22 388;22 388;22 388;–;–;–;25 400;25 400;25 400;–;–;–;30 915;30 915;30 915;–;–;–;32 859;32 859;32 859;–;–;–;117 851;38 164;38 164;–;–;79 687;152 931;28 835;28 835;–;–;124 096;205 325;39 953;39 953;–;–;165 372;233 314;62 225;62 225;–;–;171 089;299 706;93 522;93 522;–;–;206 184;346 796;43 241;43 241;–;–;303 555;327 383;51 672;51 672;–;–;275 711;418 070;58 795;58 795;–;–;359 275;429 049;60 363;60 363;–;–;368 686;474 841;68 110;68 110;–;–;406 731;504 914;92 754;92 754;–;–;412 160;509 914;107 782;107 782;–;–;402 132;426 830;70 539;70 539;–;–;356 291;506 008;135 158;135 158;–;–;370 850;467 514;88 731;88 731;–;–;378 783;490 910;114 169;114 169;–;–;376 741;565 485;143 522;143 522;–;–;421 963;539 265;136 249;136 249;–;–;403 016
Fiatal mezõgazdasági termelõk támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;7 992;7 992;7 992;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;11 443;3 271;3 271;–;–;8 172;2 693;1 059;1 059;–;–;1 634;8 157;2 238;2 238;–;–;5 919;1 309;518;518;–;–;791;687;387;387;–;–;300;10 158;2 928;2 928;–;–;7 230;9 150;2 460;2 460;–;–;6 690;58 619;15 578;15 578;–;–;43 041;13 753;–;–;–;–;13 753;8 615;–;–;–;–;8 615;8 926;–;–;–;–;8 926;8 053;–;–;–;–;8 053;7 358;–;–;–;–;7 358;6 971;–;–;–;–;6 971
Termõföld minõségi védelme, hasznosítása;;13;13;13;–;–;–;846;846;846;–;–;–;1 325;1 325;1 325;–;–;–;733;733;733;–;–;–;662;662;662;–;–;–;220;220;220;–;–;–;126;126;126;–;–;–;168;168;168;–;–;–;126;126;126;–;–;–;43;43;43;–;–;–;1 608;390;390;–;–;1 218;736;345;345;–;–;391;1 887;571;571;–;–;1 316;2 367;607;607;–;–;1 760;2 046;158;158;–;–;1 888;3 478;937;937;–;–;2 541;3 713;932;932;–;–;2 781;2 957;818;818;–;–;2 139;5 133;1 384;1 384;–;–;3 749;3 946;1 692;1 692;–;–;2 254;3 479;2 435;2 435;–;–;1 044;1 342;225;225;–;–;1 117;4 338;2 040;2 040;–;–;2 298;976;158;158;–;–;818;935;279;279;–;–;656;527;172;172;–;–;355;2;1;1;–;–;1
Agrárinformatika, farm és egyéb szakmai gyakorlat támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;;–;–;–;88;88;88;–;–;–;–;–;;–;–;–;237;237;237;–;–;–;236;236;236;–;–;–;220;220;220;–;–;–;89;89;89;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2 512;1 548;1 548;–;–;964;–;–;–;–;–;–;202;202;202;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Állattenyésztési feladatok támogatása;;368;368;368;–;–;–;939;939;939;–;–;–;639;639;639;–;–;–;849;849;849;–;–;–;814;814;814;–;–;–;133;133;133;–;–;–;216;216;216;–;–;–;265;265;265;–;–;–;361;361;361;–;–;–;241;241;241;–;–;–;745;745;745;–;–;–;320;320;320;–;–;–;224;224;224;–;–;–;876;876;876;–;–;–;394;394;394;–;–;–;5 513;5 513;5 513;–;–;–;12 507;6 198;6 198;–;–;6 309;8 897;7 777;7 777;–;–;1 120;14 151;8 488;8 488;–;–;5 663;15 513;10 382;10 382;–;–;5 131;14 884;12 569;12 569;–;–;2 315;9 022;9 022;9 022;–;–;–;10 313;10 313;10 313;–;–;–;11 781;11 781;11 781;–;–;–;12 793;12 793;12 793;–;–;–;13 087;13 087;13 087;–;–;–;12 331;12 331;12 331;–;–;–
Állatkártalanítás és állati hulla megsemmisítésének támogatása;;1 964;1 964;1 964;–;–;–;1 875;1 875;1 875;–;–;–;2 574;2 574;2 574;–;–;–;2 272;2 272;2 272;–;–;–;2 816;2 816;2 816;–;–;–;1 107;1 107;1 107;–;–;–;499;499;499;–;–;–;1 840;1 840;1 840;–;–;–;2 571;2 571;2 571;–;–;–;1 900;1 900;1 900;–;–;–;1 184;1 184;1 184;–;–;–;1 821;1 821;1 821;–;–;–;1 419;1 419;1 419;–;–;–;1 612;1 612;1 612;–;–;–;2 749;2 749;2 749;–;–;–;1 041;1 041;1 041;–;–;–;2 543;2 543;2 543;–;–;–;3 512;3 512;3 512;–;–;–;2 585;2 585;2 585;–;–;–;3 546;3 546;3 546;–;–;–;6 087;6 087;6 087;–;–;–;6 016;6 016;6 016;–;–;–;16 284;16 284;16 284;–;–;–;5 452;5 452;5 452;–;–;–;16 529;16 529;16 529;–;–;–;19 517;19 517;19 517;–;–;–;14 471;14 471;14 471;–;–;–
Vadgazdálkodási tevékenységek támogatása;;–;–;–;–;–;–;203;203;203;–;–;–;287;287;287;–;–;–;89;89;89;–;–;–;285;285;285;–;–;–;141;141;141;–;–;–;130;130;130;–;–;–;255;255;255;–;–;–;212;212;212;–;–;–;332;332;332;–;–;–;223;223;223;–;–;–;203;203;203;–;–;–;229;229;229;–;–;–;35;35;35;–;–;–;37;37;37;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Halgazdálkodási tevékenységek támogatása;;34;34;34;–;–;–;197;197;197;–;–;–;115;115;115;–;–;–;44;44;44;–;–;–;102;102;102;–;–;–;69;69;69;–;–;–;68;68;68;–;–;–;96;96;96;–;–;–;72;72;72;–;–;–;93;93;93;–;–;–;72;72;72;–;–;–;67;67;67;–;–;–;117;117;117;–;–;–;59;59;59;–;–;–;–;–;–;–;–;–;67;67;67;–;–;–;49;49;49;–;–;–;871;285;285;–;–;586;191;128;128;–;–;63;102;97;97;–;–;5;225;200;200;–;–;25;169;107;107;–;–;62;85;85;85;–;–;–;1 020;254;254;–;–;766;784;234;234;–;–;550;930;-332;-332;–;–;1 262;2 164;1 212;1 212;–;–;952
Vízgazdálkodási tevékenységek támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 580;3 580;3 580;–;–;–;306;306;306;–;–;–;995;995;995;–;–;–;472;472;472;–;–;–;43;43;43;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Nemzeti Agrár Környzetvédelmi Program;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 754;3 754;3 754;–;–;–;1 594;1 594;1 594;–;–;–;35 347;7 350;7 350;–;–;27 997;41 878;8 959;8 959;–;–;32 919;33 318;6 280;6 280;–;–;27 038;34 395;5 500;5 500;–;–;28 895;30 825;2 923;2 923;–;–;27 902;26 677;5 142;5 142;–;–;21 535;76 199;22 116;22 116;–;–;54 083;72 865;22 514;22 514;–;–;50 351;47 939;13 025;13 025;–;–;34 914;58 816;25 272;25 272;–;–;33 544;22 667;13 600;13 600;–;–;9 067;17 041;2 858;2 858;–;–;14 183;47 926;22 536;22 536;–;–;25 390;30 918;5 000;5 000;–;–;25 918;22 641;6 753;6 753;–;–;15 888;33 180;10 840;10 840;–;–;22 340;28 971;14 971;14 971;–;–;14 000
NATURA 2000 gazdálkodás támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1 524;326;326;–;–;1 198;2 546;649;649;–;–;1 897;2 470;732;732;–;–;1 738;9 000;2 439;2 439;–;–;6 561;3 242;1 429;1 429;–;–;1 813;9 163;5 498;5 498;–;–;3 665;1 499;252;252;–;–;1 247;15 048;7 076;7 076;–;–;7 972;4 251;687;687;–;–;3 564;4 791;1 429;1 429;–;–;3 362;6 389;2 087;2 087;–;–;4 302;6 282;3 404;3 404;–;–;2 878
Agrárgazdasági szolgáltatás fejlesztése;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 572;3 572;3 572;–;–;–;2 701;2 701;2 701;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;65;65;65;–;–;–;644;644;644;–;–;–;204;204;204;–;–;–;40;40;40;–;–;–;35;35;35;–;–;–
Agrárgazdasági szaktanácsadás támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;348;348;348;–;–;–;1 870;1 056;1 056;–;–;814;1 767;774;774;–;–;993;572;82;82;–;–;490;198;198;198;–;–;–;1 890;915;915;–;–;975;2 635;1 062;1 062;–;–;1 573;3 517;2 535;2 535;–;–;982;1 222;368;368;–;–;854;3 777;1 776;1 776;–;–;2 001;5 585;2 609;2 609;–;–;2 976;406;406;406;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Egységes területalapú támogatás (SAPS és Zöldítés);;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;79 687;–;–;–;–;79 687;93 744;–;–;–;–;93 744;121 937;–;–;–;–;121 937;128 213;–;–;–;–;128 213;153 161;–;–;–;–;153 161;207 366;–;–;–;–;207 366;228 165;–;–;–;–;228 165;278 829;–;–;–;–;278 829;294 395;–;–;–;–;294 395;332 048;–;–;–;–;332 048;340 094;–;–;–;–;340 094;327 357;–;–;–;–;327 357;319 359;–;–;–;–;319 359;324 350;–;–;–;–;324 350;336 414;–;–;–;–;336 414;346 192;–;–;–;–;346 192;384 073;–;–;–;–;384 073;376 267;–;–;–;–;376 267
Termelõi csoportok támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;229;46;46;–;–;183;4 843;1 122;1 122;–;–;3 721;3 356;718;718;–;–;2 638;3 648;1 490;1 490;–;–;2 158;2 580;14;14;–;–;2 566;2 022;1 039;1 039;–;–;983;3 866;1 695;1 695;–;–;2 171;4 003;1 071;1 071;–;–;2 932;6 778;4 428;4 428;–;–;2 350;2 903;2 353;2 353;–;–;550;5 295;4 655;4 655;–;–;640;3 960;3 960;3 960;–;–;–;3 441;3 441;3 441;–;–;–;2 902;2 902;2 902;–;–;–;2 645;2 645;2 645;–;–;–;2 159;2 159;2 159;–;–;–;0;0;0;–;–;–
Félig önálló szervezetek támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;175;35;35;–;–;140;172;39;39;–;–;133;215;44;44;–;–;171;106;106;106;–;–;–;–;–;–;–;–;–;1 090;974;974;–;–;116;–;–;–;–;–;–;2 148;2 148;2 148;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Erdõsítés támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;6 815;1 537;1 537;–;–;5 278;9 098;1 823;1 823;–;–;7 275;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;223;49;49;–;–;174;163;163;163;–;–;–;–;–;–;–;–;–;5 858;2 403;2 403;–;–;3 455;5 199;3 119;3 119;–;–;2 080;1 915;320;320;–;–;1 595;4 014;1 790;1 790;–;–;2 224;2 770;393;393;–;–;2 377;2 684;644;644;–;–;2 040;3 203;930;930;–;–;2 273;5 262;3 315;3 315;–;–;1 947
Erdészeti közcélú feladatok támogatása;;3 470;3 470;3 470;–;–;–;2 501;2 501;2 501;–;–;–;3 377;3 377;3 377;–;–;–;3 367;3 367;3 367;–;–;–;3 317;3 317;3 317;–;–;–;2 982;2 982;2 982;–;–;–;3 928;3 928;3 928;–;–;–;4 935;4 935;4 935;–;–;–;5 579;5 579;5 579;–;–;–;3 963;3 963;3 963;–;–;–;3 584;3 584;3 584;–;–;–;3 670;3 670;3 670;–;–;–;7 082;7 082;7 082;–;–;–;2 095;2 095;2 095;–;–;–;850;850;850;–;–;–;1 706;1 706;1 706;–;–;–;352;352;352;–;–;–;1 060;283;283;–;–;777;1 109;603;603;–;–;506;164;164;164;–;–;–;75;75;75;–;–;–;71;71;71;–;–;–;51;51;51;–;–;–;35;35;35;–;–;–;32;32;32;–;–;–;14;14;14;–;–;–;942;942;942;–;–;–
Erdei vasutak mûködtetésének támogatása;;–;–;–;–;–;–;58;58;58;–;–;–;65;65;65;–;–;–;65;65;65;–;–;–;98;98;98;–;–;–;103;103;103;–;–;–;109;109;109;–;–;–;109;109;109;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Jóléti és parkerdõfenntartás támogatása;;–;–;–;–;–;–;79;79;79;–;–;–;85;85;85;–;–;–;83;83;83;–;–;–;91;91;91;–;–;–;175;175;175;–;–;–;112;112;112;–;–;–;247;247;247;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Agrártermelés költségeit csökkentõ támogatás;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2 621;2 621;2 621;–;–;–;553;553;553;–;–;–;1 374;1 374;1 374;–;–;–;2 974;2 974;2 974;–;–;–;1 007;1 007;1 007;–;–;–;1 645;1 645;1 645;–;–;–;2 677;2 677;2 677;–;–;–;3 064;3 064;3 064;–;–;–;1 638;1 524;1 524;–;–;114;2 356;2 356;2 356;–;–;–;1 417;1 417;1 417;–;–;–;9 319;9 319;9 319;–;–;–;2 941;2 941;2 941;–;–;–;6 630;6 630;6 630;–;–;–;12 221;12 221;12 221;–;–;–;3 105;3 105;3 105;–;–;–
Zöldség-, gyümölcstermesztés és feldolgozás támogatása;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;4 975;1;1;–;–;4 974;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Agrár kárenyhítés;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;6 734;6 734;6 734;–;–;–;691;691;691;–;–;–;20;20;20;–;–;–;4 212;4 212;4 212;–;–;–;2 111;2 111;2 111;–;–;–;70;70;70;–;–;–;3 383;3 383;3 383;–;–;–;7 834;3 939;3 939;–;–;3 895;3 004;2 656;2 656;–;–;348;7 950;7 949;7 949;–;–;1;4 937;4 936;4 936;–;–;1;7 211;7 211;7 211;–;–;–;8 010;8 010;8 010;–;–;–;14 623;14 623;14 623;–;–;–;18 721;18 721;18 721;–;–;–
