21.1.1.29. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Társadalombiztosítási alapok [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.611C_07;Korkedvezmény biztosítási járulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;3 457;7 224;14 095;17 440;18 139;18 257;–;–;–;–;–;–;–;–
D.611C_08;Munkáltatói nyugdíjbiztosítási járulék;LEYRS;;348 590;407 606;466 438;588 509;619 232;747 370;809 104;865 546;949 606;1 008 653;1 111 408;1 209 777;1 515 757;1 840 353;1 770 594;1 786 769;1 876 463;–;–;–;–;–;–;–;–;–;–
D.611C_09;Munkáltatói egészségbiztosítási- és munkaerõpiai járulék;LEYRS;;276 909;305 228;375 153;370 241;334 787;373 464;430 962;510 129;566 083;603 910;669 989;728 206;595 740;398 790;302 855;149 447;155 371;14 859;–;–;–;–;–;–;–;–;–
D.611V;Munkaadók tényleges önkéntes társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.61SC;Társadalombiztosítási rendszerek szolgáltatási díjai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6111;Munkaadók tényleges nyugdíjjárulékai;;;348 590;407 606;466 438;588 509;619 232;747 370;809 104;865 546;949 606;1 008 653;1 111 416;1 210 016;1 515 796;1 843 856;1 777 818;1 800 864;1 899 770;2 023 388;2 263 105;2 320 512;2 219 708;2 152 412;1 893 801;2 016 648;1 961 423;1 781 017;1 825 198
D.6111_01;Szociális hozzájárulási adó (nyugdíjcélú);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1 998 124;2 235 482;2 307 435;2 205 781;2 137 247;1 876 353;1 997 016;1 940 324;1 760 390;1 802 506
D.6111_02;Korkedvezmény biztosítási járulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;3 457;7 224;14 095;17 440;18 139;18 257;–;–;–;–;–;–;–;–
D.6111_03;Felszolgálási díj utáni nyugdíjjárulék;LEYRS;;–;–;–;–;–;–;–;–;–;–;8;239;39;46;..;..;..;..;..;499;705;889;1 169;1 696;1 881;1 954;2 198
D.6111_04;Egyszerûsített foglalkoztatás utáni közterhek (nyugdíjcélú);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;5 867;7 125;9 366;12 578;13 222;14 276;16 279;17 936;19 218;18 673;20 494
D.6111_05;Munkáltatói nyugdíjbiztosítási járulék;LEYRS;;348 590;407 606;466 438;588 509;619 232;747 370;809 104;865 546;949 606;1 008 653;1 111 408;1 209 777;1 515 757;1 840 353;1 770 594;1 786 769;1 876 463;–;–;–;–;–;–;–;–;–;–
D.6112;Munkaadók tényleges nem nyugdíjcélú járulékai;;;277 035;308 871;432 814;471 671;497 290;554 804;626 845;728 127;748 033;786 225;853 580;849 983;726 728;538 105;433 668;198 621;211 250;266 403;120 840;250 049;540 123;745 894;694 420;711 014;795 098;739 210;759 515
D.6112_01;Szociális hozzájárulási adó (nem nyugdíjcélú);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;156 374;2 978;112 905;388 942;571 982;526 664;536 598;743 091;693 657;713 795
D.6112_02;Egészségügyi hozzájárulás (munkaadók);LEYRS;;126;113;50 002;91 931;150 155;167 225;181 162;199 879;160 500;159 882;160 281;98 734;107 620;114 421;106 005;30 341;39 991;81 160;103 091;114 433;127 279;146 154;136 928;138 708;11 991;291;150
D.6112_03;Egészségügyi szolgáltatási járulék (munkaadók);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 815;3 934;4 071;4 122;4 252;4 252;4 252;4 252
D.6112_04;Egyszerûsített foglalkoztatás utáni közterhek (nem nyugdíjcélú);LEYRS;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;86;109;142;192;202;218;248;274;292;285;312
D.6112_05;Munkáltatói táppénz hozzájárulás;LEYRS;;–;3 530;7 659;9 499;12 348;14 115;14 721;18 119;21 450;22 433;23 310;23 043;23 368;24 894;24 808;18 833;15 802;13 901;14 629;18 704;19 766;23 469;26 458;31 182;35 472;40 725;41 006
D.6112_06;Munkáltatói egészségbiztosítási- és munkaerõpiai járulék;LEYRS;;276 909;305 228;375 153;370 241;334 787;373 464;430 962;510 129;566 083;603 910;669 989;728 206;595 740;398 790;302 855;149 447;155 371;14 859;–;–;–;–;–;–;–;–;–
D.612;Munkaadók imputált társadalombiztosítási hozzájárulásai;;;86;120;161;153;175;93;166;82;204;193;197;177;138;149;147;132;54;42;40;45;77;72;67;21;35;25;26
D.6121;Munkaadók imputált nyugdíjjárulékai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6122;Munkaadók imputált nem nyugdíjcélú járulékai;;;86;120;161;153;175;93;166;82;204;193;197;177;138;149;147;132;54;42;40;45;77;72;67;21;35;25;26
D.6122_01;Betegszabadság esetén történõ munkáltatói kifizetés;LEYRS;;86;120;161;153;175;93;166;82;204;193;197;177;138;149;147;132;54;42;40;45;77;72;67;21;35;25;26
D.613;Háztartások tényleges társadalombiztosítási hozzájárulásai;;;148 944;164 176;198 791;228 528;271 856;297 826;361 202;413 585;477 963;538 313;560 598;647 807;894 633;937 922;905 680;1 040 734;1 364 238;1 462 271;1 529 822;1 589 196;1 693 180;1 816 113;2 058 167;2 301 320;2 517 886;2 616 864;2 944 583
D.6131;Háztartások tényleges nyugdíjjárulékai;;;87 796;98 307;121 216;151 566;175 801;189 532;220 261;251 019;296 656;299 485;306 727;328 309;372 093;455 717;449 301;538 912;869 865;853 410;876 580;909 892;970 219;1 042 993;1 190 567;1 336 665;1 482 560;1 540 205;1 732 380
D.6131_01;Nyugdíjjárulék (munkavállalók, egyéni vállalkozók, nem foglalkoztatottak);LEYRS;;87 796;98 307;121 216;150 773;175 142;188 769;219 197;249 761;295 251;297 948;305 046;326 455;370 481;454 151;447 890;537 556;868 438;852 090;875 376;908 832;969 369;1 042 109;1 189 711;1 335 868;1 481 874;1 539 524;1 731 636
D.6131_02;Megállapodás alapján fizetõk járulékai (nyugdíjcélú);LNON;;–;–;–;793;659;763;1 064;1 258;1 405;1 537;1 681;1 854;1 612;1 566;1 411;1 356;1 427;1 320;1 204;1 060;850;884;856;797;686;681;744
D.6132;Háztartások tényleges nem nyugdíjcélú járulékai;;;61 148;65 869;77 575;76 962;96 055;108 294;140 941;162 566;181 307;238 828;253 871;319 498;522 540;482 205;456 379;501 822;494 373;608 861;653 242;679 304;722 961;773 120;867 600;964 655;1 035 326;1 076 659;1 212 203
D.6132_01;Egészségbiztosítási- és munkaerõpiaci járulék (munkavállalók, egyéni vállalkozók, nem foglalkoztatottak);LEYRS;;59 311;64 276;75 609;75 341;88 004;92 756;125 161;150 233;165 837;227 593;247 014;308 219;513 992;473 155;434 925;469 495;456 949;551 473;592 061;614 439;656 178;703 437;801 839;898 485;1 003 683;1 046 999;1 181 988
D.6132_02;Egészségügyi hozzájárulás (munkavállalók, egyéni vállalkozók, nem foglalkoztatottak);LEYRS;;–;–;386;661;6 629;14 155;13 503;9 997;12 815;8 671;4 127;8 962;5 864;4 547;3 929;10 866;14 293;27 684;35 568;40 718;41 205;43 424;39 324;39 096;3 381;83;43
D.6132_03;Egészségügyi szolgáltatási járulék (egyéni vállalkozók, nem foglalkoztatottak);LNON;;1 837;1 593;1 580;960;994;873;1 580;1 511;1 848;1 855;2 080;2 129;2 534;4 277;17 310;21 232;22 882;29 434;25 314;23 823;25 247;25 908;26 130;26 781;27 965;29 305;29 953
D.6132_04;Megállapodás alapján fizetõk járulékai (nem nyugdíjcélú);LNON;;–;–;–;–;428;510;697;825;807;709;650;188;150;226;215;229;249;270;299;324;331;351;307;293;297;272;219
D.613C;Háztartások tényleges kötelezõ társadalombiztosítási hozzájárulásai;;;148 944;164 176;198 791;227 735;270 769;296 553;359 441;411 502;475 751;536 067;558 267;645 765;892 871;936 130;904 054;1 039 149;1 362 562;1 460 681;1 528 319;1 587 812;1 691 999;1 814 878;2 057 004;2 300 230;2 516 903;2 615 911;2 943 620
D.613CE;Munkavállalók tényleges kötelezõ társadalombiztosítási hozzájárulásai;;;111 965;123 486;156 784;184 452;221 879;240 017;283 257;334 330;391 046;447 616;468 709;533 001;778 389;808 265;773 190;917 556;1 233 783;1 330 969;1 457 275;1 525 930;1 624 682;1 746 200;1 989 134;2 231 349;2 453 387;2 550 586;2 873 118
D.613CE_01;Egészségbiztosítási- és munkaerõpiaci járulék (munkavállalók);LEES;;44 669;48 403;60 602;60 782;73 961;79 547;101 395;124 459;138 977;200 597;220 823;269 781;475 170;435 860;414 367;454 828;442 958;542 859;587 800;604 819;645 840;693 224;791 643;888 338;992 348;1 035 175;1 168 640
D.613CE_02;Nyugdíjjárulék (munkavállalók);LEES;;67 296;75 083;96 182;123 670;147 918;160 470;181 716;209 712;250 430;247 003;247 872;263 206;303 219;372 405;358 823;454 578;780 475;769 333;844 753;892 235;950 559;1 022 851;1 169 669;1 314 894;1 458 608;1 515 352;1 704 447
D.613CE_03;Egészségügyi hozzájárulás (munkavállalók);LEES;;–;–;–;–;–;–;146;159;1 639;16;14;14;..;..;..;8 150;10 350;18 777;24 722;28 876;28 283;30 125;27 822;28 117;2 431;59;31
D.613CS;Önálló vállalkozók tényleges kötelezõ társadalombiztosítási hozzájárulásai;;;19 773;23 651;26 959;28 096;29 547;39 138;60 244;57 876;64 331;65 923;61 729;89 494;81 736;83 343;76 410;61 910;66 089;63 670;37 027;34 306;38 218;39 098;37 568;37 371;30 550;30 760;34 273
D.613CS_01;Egészségbiztosítási- és munkaerõpiaci járulék (egyéni vállalkozók);KISE;;8 484;9 971;10 365;9 895;10 481;8 469;19 879;19 014;20 126;19 293;16 696;30 545;27 562;20 048;15 994;12 362;11 977;6 519;4 261;9 620;10 338;10 213;10 196;10 147;11 335;11 824;13 348
D.613CS_02;Nyugdíjjárulék (egyéni vállalkozók);KISE;;11 289;13 680;16 208;17 540;18 370;16 514;27 008;29 024;33 029;37 975;40 920;50 001;48 310;58 748;56 487;47 440;50 803;49 657;23 758;11 716;14 050;13 997;13 907;13 908;15 428;16 029;18 029
D.613CS_03;Egészségügyi hozzájárulás (egyéni vállalkozók);KISE;;–;–;386;661;696;14 155;13 357;9 838;11 176;8 655;4 113;8 948;5 864;4 547;3 929;2 108;3 309;7 494;9 008;9 842;10 790;11 698;10 425;10 431;902;22;11
D.613CS_04;Egészségügyi szolgáltatási járulék (egyéni vállalkozók);KISE;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;3 128;3 040;3 190;3 040;2 885;2 885;2 885;2 885
D.613CN;Alkalmazásban nem állók tényleges kötelezõ társadalombiztosítási hozzájárulásai ;;;17 206;17 039;15 048;15 187;19 343;17 398;15 940;19 296;20 374;22 528;27 829;23 270;32 746;44 522;54 454;59 683;62 690;66 042;34 017;27 576;29 099;29 580;30 302;31 510;32 966;34 565;36 229
D.613CN_01;Egészségügyi szolgáltatási járulék (nem foglalkoztatottak);LNON;;1 837;1 593;1 580;960;994;873;1 580;1 511;1 848;1 855;2 080;2 129;2 534;4 277;17 310;21 232;22 882;29 434;25 314;20 695;22 207;22 718;23 090;23 896;25 080;26 420;27 068
D.613CN_02;Egészségügyi hozzájárulás (nem foglalkoztatottak);LNON;;–;–;–;–;5 933;–;–;–;–;–;–;–;–;–;–;608;634;1 413;1 838;2 000;2 132;1 601;1 077;548;48;2;1
D.613CN_03;Munkanélküli ellátás utáni nyugdíjjárulék;LNON;;9 211;9 544;8 826;9 563;8 854;11 785;10 473;11 025;11 792;12 970;16 254;13 248;18 952;22 998;32 580;35 538;37 160;33 100;6 865;4 881;4 760;5 261;6 135;7 066;7 838;8 143;9 160
D.613CN_04;Munkanélküli ellátás utáni egészségbiztosítási járulék;LNON;;6 158;5 902;4 642;4 664;3 562;4 740;3 887;6 760;6 734;7 703;9 495;7 893;11 260;17 247;4 564;2 305;2 014;2 095;–;–;–;–;–;–;–;–;–
D.613V;Háztartások tényleges önkéntes társadalombiztosítási hozzájárulásai;;;–;–;–;793;1 087;1 273;1 761;2 083;2 212;2 246;2 331;2 042;1 762;1 792;1 626;1 585;1 676;1 590;1 503;1 384;1 181;1 235;1 163;1 090;983;953;963
D.613V_01;Megállapodás alapján fizetõk járulékai;LNON;;–;–;–;793;1 087;1 273;1 761;2 083;2 212;2 246;2 331;2 042;1 762;1 792;1 626;1 585;1 676;1 590;1 503;1 384;1 181;1 235;1 163;1 090;983;953;963
D.614;Háztartások kiegészítõ társadalombiztosítási hozzájárulásai ;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6141;Háztartások kiegészítõ nyugdíjjárulékai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.6142;Háztartások kiegészítõ nem nyugdíjcélú járulékai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995;Államháztartási tõketranszferek a megfelelõ szektorok részére, amelyek megállapított, de valószínûleg be nem hajtható adóknak és társadalombiztosítási hozzájárulásoknak felelnek meg;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995A;Megállapított, de valószínûleg be nem hajtható termékadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995B;Megállapított, de valószínûleg be nem hajtható egyéb termelési adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995C;Megállapított, de valószínûleg be nem hajtható jövedelemadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995D;Megállapított, de valószínûleg be nem hajtható egyéb folyó adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995E;Munkaadók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995F;Háztartások megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FE;Munkavállalók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FS;Önálló vállalkozók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995FN;Alkalmazásban nem állók megállapított, de valószínûleg be nem hajtható tényleges társadalombiztosítási hozzájárulásai ;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.995G;Megállapított, de valószínûleg be nem hajtható tõkeadók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
ODB;Adókból és társadalombiztosítási hozzájárulásokból származó összes bevétel;;;774 569;880 653;1 098 043;1 288 708;1 388 378;1 600 000;1 797 151;2 007 258;2 175 602;2 333 191;2 525 594;2 707 806;3 167 824;3 354 786;3 157 048;3 077 825;3 527 565;3 851 477;4 006 231;4 256 065;4 566 941;4 828 502;4 777 160;5 173 299;5 395 947;5 257 374;5 657 663
ODC;Adókból és a nettó társadalombiztosítási hozzájárulásokból származó összes bevétel (az imputált TB hozzájárulásokat is beleértve);;;774 655;880 773;1 098 204;1 288 861;1 388 553;1 600 093;1 797 317;2 007 340;2 175 806;2 333 384;2 525 791;2 707 983;3 167 962;3 354 935;3 157 195;3 077 957;3 527 619;3 851 519;4 006 271;4 256 110;4 567 018;4 828 574;4 777 227;5 173 320;5 395 982;5 257 399;5 657 689
ODD;Adóteher – az adókból és a kötelezõ társadalombiztosítási hozzájárulásokból származó összes bevétel;;;774 569;880 653;1 098 043;1 287 915;1 387 291;1 598 727;1 795 390;2 005 175;2 173 390;2 330 945;2 523 263;2 705 764;3 166 062;3 352 994;3 155 422;3 076 240;3 525 889;3 849 887;4 004 728;4 254 681;4 565 760;4 827 267;4 775 997;5 172 209;5 394 964;5 256 421;5 656 700
